case_id,image_path,mask_path,label,source,variant,width,height,area,area_bin
16161,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/16161.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/16161.npy,0,train,authentic,2568,1912,4910016,4
38548,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/38548.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/38548.npy,1,train,forged,1280,1024,1310720,3
57143,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/57143.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/57143.npy,1,train,forged,631,512,323072,2
54545,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/54545.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/54545.npy,1,train,forged,512,512,262144,1
30040,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/30040.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/30040.npy,1,train,forged,513,512,262656,2
10886,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/10886.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/10886.npy,1,train,forged,1000,666,666000,3
767,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/767.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/767.npy,0,train,authentic,1000,666,666000,3
38396,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/38396.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/38396.npy,0,train,authentic,1000,666,666000,3
56723,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/56723.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/56723.npy,0,train,authentic,696,520,361920,2
1174,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1174.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/1174.npy,0,train,authentic,250,1041,260250,1
47003,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/47003.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/47003.npy,1,train,forged,1000,666,666000,3
51177,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/51177.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/51177.npy,1,train,forged,512,512,262144,1
60986,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/60986.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/60986.npy,0,train,authentic,515,157,80855,1
53464,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/53464.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/53464.npy,1,train,forged,1600,1200,1920000,4
33397,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/33397.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/33397.npy,0,train,authentic,683,512,349696,2
61883,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/61883.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/61883.npy,0,train,authentic,515,512,263680,2
32222,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/32222.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/32222.npy,1,train,forged,256,256,65536,0
28496,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/28496.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/28496.npy,0,train,authentic,256,256,65536,0
59144,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/59144.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/59144.npy,0,train,authentic,1280,1024,1310720,3
37783,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/37783.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/37783.npy,1,train,forged,483,251,121233,1
41080,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/41080.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/41080.npy,0,train,authentic,3888,2592,10077696,4
20764,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20764.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/20764.npy,0,train,authentic,523,512,267776,2
37400,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/37400.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/37400.npy,1,train,forged,696,520,361920,2
6775,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/6775.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/6775.npy,0,train,authentic,256,256,65536,0
12908,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/12908.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/12908.npy,1,train,forged,664,512,339968,2
31086,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/31086.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/31086.npy,1,train,forged,1440,287,413280,3
298,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/298.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/298.npy,1,train,forged,571,82,46822,0
31336,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/31336.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/31336.npy,1,train,forged,2568,1912,4910016,4
13333,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/13333.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/13333.npy,1,train,forged,1600,1200,1920000,4
55650,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/55650.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/55650.npy,0,train,authentic,3888,2592,10077696,4
63687,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/63687.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/63687.npy,0,train,authentic,1000,666,666000,3
15120,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/15120.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/15120.npy,1,train,forged,776,512,397312,2
1873,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1873.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/1873.npy,0,train,authentic,1000,666,666000,3
