case_id,image_path,mask_path,label,source,variant,width,height,area,area_bin
17660,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/17660.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/17660.npy,0,train,authentic,545,512,279040,2
22524,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/22524.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/22524.npy,0,train,authentic,533,512,272896,2
11010,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11010.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/11010.npy,0,train,authentic,1600,1200,1920000,4
56145,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/56145.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/56145.npy,1,train,forged,1600,1200,1920000,4
23860,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/23860.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/23860.npy,0,train,authentic,320,256,81920,1
9083,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/9083.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/9083.npy,0,train,authentic,696,520,361920,2
18781,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/18781.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/18781.npy,0,train,authentic,320,256,81920,1
15660,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/15660.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/15660.npy,1,train,forged,256,256,65536,0
64971,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/64971.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/64971.npy,1,train,forged,1000,666,666000,3
46098,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/46098.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/46098.npy,0,train,authentic,465,80,37200,0
37586,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/37586.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/37586.npy,1,train,forged,1022,1087,1110914,3
13813,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13813.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/13813.npy,0,train,authentic,1000,666,666000,3
14930,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/14930.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/14930.npy,1,train,forged,1384,1028,1422752,4
41001,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/41001.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/41001.npy,0,train,authentic,512,512,262144,1
56002,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/56002.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/56002.npy,0,train,authentic,1600,1200,1920000,4
15120,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15120.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/15120.npy,0,train,authentic,776,512,397312,2
50798,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/supplemental_images/50798.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/supplemental_masks/50798.npy,1,supplemental,supplemental_forged,1126,572,644072,3
377,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/377.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/377.npy,1,train,forged,767,696,533832,3
37476,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/37476.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/37476.npy,1,train,forged,1109,1918,2127062,4
20768,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20768.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/20768.npy,0,train,authentic,724,110,79640,1
32170,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/32170.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/32170.npy,1,train,forged,518,512,265216,2
63947,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/63947.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/63947.npy,1,train,forged,763,341,260183,1
48275,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/48275.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/48275.npy,0,train,authentic,256,256,65536,0
11277,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/11277.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/11277.npy,1,train,forged,1600,1200,1920000,4
58692,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/58692.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/58692.npy,1,train,forged,211,151,31861,0
22951,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/22951.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/22951.npy,0,train,authentic,1600,1200,1920000,4
41697,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/41697.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/41697.npy,0,train,authentic,2568,1912,4910016,4
20498,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/authentic/20498.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/20498.npy,0,train,authentic,256,256,65536,0
30871,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/30871.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/30871.npy,1,train,forged,729,512,373248,2
8130,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/8130.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/8130.npy,1,train,forged,320,256,81920,1
23860,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/23860.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/23860.npy,1,train,forged,320,256,81920,1
16485,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/16485.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/16485.npy,1,train,forged,518,94,48692,0
2053,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_images/forged/2053.png,/home/hotson/kaggle_work/recodai-luc-scientific-image-forgery-detection/train_masks/2053.npy,1,train,forged,1266,666,843156,3
